工业生产总值,利差
69.9586,.31
69.8708,.53
69.9929,.58
70.1935,.19
70.0933,.32
70.2669,.62
70.4039,.69
69.8922,.61
69.0512,.58
68.5847,.77
68.2644,1.18
67.8173,1.6
67.4653,1.99
67.6098,2.13
68.2752,2.29
68.956,2.38
68.9478,2.45
69.0396,2.24
69.6186,2.2
69.4723,2.32
69.3605,2.61
69.1393,2.66
68.7421,3
69.2477,3.28
69.802,3.56
70.3082,3.75
70.5659,3.57
70.5976,3.5
71.178,3.59
70.8121,3.29
70.9732,3.2
71.4909,3.49
71.7605,3.78
71.7614,3.85
72.113,3.58
72.365,3.23
72.3702,2.91
72.6235,3.01
72.3583,3.04
72.5371,2.92
72.7829,2.75
72.7793,2.65
73.0957,2.27
73.6173,2.34
73.9196,2.7
74.3063,2.81
74.626,2.7
74.6236,2.72
75.4083,3.14
75.7834,3.41
76.2015,3.17
76.7097,2.85
76.8793,3.04
77.2637,2.77
77.4467,2.73
78.0976,2.98
78.6114,2.67
79.4883,2.36
79.7302,2.25
79.7133,1.55
79.8124,1.22
79.747,1.01
79.9171,.62
80.1416,.17
79.86,.43
80.9374,.75
81.2344,.4
81.0446,.28
81.2835,.13
81.6616,.11
81.1736,.09
82.5449,.59
82.3641,.96
82.9794,1.29
83.482,1.5
84.2217,1.64
84.1144,1.47
84.6472,1.42
85.0881,1.53
85.0992,1.29
85.8396,.89
86.4207,1.01
86.5246,1.33
87.5768,1.23
88.2708,1.3
88.2838,1.38
88.8524,1.21
89.2612,.93
89.7754,.7
91.0059,.76
91.8378,.67
92.5238,.53
93.386,.36
93.7553,.31
94.148,-.02
94.169,.06
94.1916,.16
94.6704,.19
95.2581,.16
94.7414,-.06
94.3585,-.08
96.3142,-.21
96.0591,-.7
96.743,-.54
96.673,0
96.9967,-.03
97.4849,.09
97.8947,.24
98.0864,.42
98.2949,.44
99.0314,.8
98.8656,1.14
99.4962,.8
99.9767,.87
99.6093,.7
100.9459,.91
101.5527,.61
102.3945,.98
102.4654,1.21
102.8375,.79
103.2423,.41
103.8999,-.03
104.1433,.17
104.2873,-.43
104.032,-.49
103.8104,-.67
104.2642,-.72
103.8077,-.77
103.8208,-.79
103.475,-1.16
102.748,-.82
102.1625,-.39
101.8291,-.42
101.5704,.34
100.8683,1.18
100.2266,1.31
99.7613,1.47
99.4021,1.32
98.9667,1.66
98.4163,2.08
97.8874,2.56
97.8399,3.27
98.3224,3.31
98.3983,3.17
99.1081,3.55
99.4718,3.46
99.9772,3.41
100.9301,3.18
100.6212,2.92
100.7317,2.52
100.7395,2.12
100.446,2.19
100.8772,2.71
100.3765,2.79
101.0268,2.81
101.412,2.64
101.2521,2.56
100.3969,2.7
100.4334,2.31
100.6173,2.11
101.0612,2.97
100.9579,3.42
101.4852,3.26
101.5785,3.28
102.401,3.3
102.3153,3.29
102.5858,3.15
103.1195,3.07
102.5619,2.83
103.0752,3.35
103.7896,3.72
102.925,3.7
103.6237,3.24
103.8891,2.85
103.8183,2.52
104.8276,2.34
105.1782,2.26
105.7785,2.07
106.2584,1.94
106.8705,1.67
106.8335,1.87
106.7592,1.55
107.101,1.14
107.5818,.96
107.5563,.92
107.7421,.76
105.8028,.58
107.0612,.68
108.1877,.54
108.7646,.31
108.8216,.13
108.7387,.08
108.9974,.13
109.4348,.2
109.3408,.17
109.8664,.12
110.1428,-.15
110.2365,-.37
109.8273,-.53
109.7437,-.52
109.5274,-.65
110.1754,-.68
109.7791,-.49
110.5181,-.54
110.4036,-.7
110.953,-.56
110.9686,-.5
111.3551,-.15
112.0024,-.26
111.9712,-.35
112.2598,-.42
111.8262,-.23
112.2962,-.34
112.3855,-.14
112.5704,-.2
112.2604,.76
112.0235,.9
111.441,1.4
111.2179,1.9
111.285,2.1
111.2376,2
109.7708,1.89
105.2662,1.88
106.9803,2.84
105.7249,3.14
103.2183,2.26
